[2023-07-07 03:34:11] [class-ss-plugin.php:305] Received request to start generating a static archive
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/includes/init.php to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/includes/init.php
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/includes/shortcode.php to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/includes/shortcode.php
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/includes/variables.php to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/includes/variables.php
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/includes/adminpanel.php to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/includes/adminpanel.php
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/includes/iframe.php to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/includes/iframe.php
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-es_MX.po to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-es_MX.po
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-es_ES.mo to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-es_ES.mo
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-ko_KR.po to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-ko_KR.po
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-pt_BR.po to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-pt_BR.po
[2023-07-07 03:34:15] [class-ss-setup-task.php:126] Adding file /Users/msouden/Local Sites/msouden/app/public/wp-content/plugins/tumult-hype-animations/languages/hype-animations-af.mo to queue as: http://msouden.local/wp-content/plugins/tumult-hype-animations/languages/hype-animations-af.mo
